"id","conference","institution"
"28","87","85"
"29","88","248"
"31","90","725"
"32","91","54"
"35","97","1156"
"37","99","234"
"41","107","468"
"42","108","961"
"44","110","1192"
"49","121","590"
"68","148","1052"
"79","160","1122"
"82","163","1083"
"83","164","1083"
"89","170","1523"
"90","175","1307"
"97","183","768"
"100","186","939"
"101","187","939"
"103","189","312"
"105","191","939"
"106","192","547"
"107","193","939"
"108","194","312"
"109","195","547"
"111","197","939"
"113","199","547"
"117","203","908"
"122","207","1045"
"124","209","971"
"125","210","946"
"133","218","670"
"134","219","590"
"141","226","629"
"145","230","981"
"159","244","179"
"173","259","1035"
"177","263","916"
"178","264","922"
"179","264","925"
"180","264","926"
"182","266","1653"
"183","267","1014"
"184","268","1187"
"186","270","459"
"187","271","32"
"195","280","75"
"197","282","249"
"199","285","148"
"201","287","1014"
"206","307","1056"
"207","308","1058"
"209","310","587"
"211","319","248"
"212","320","248"
"213","321","509"
"215","323","509"
"216","324","509"
"217","325","509"
"218","326","509"
"219","327","509"
"220","328","509"
"221","329","480"
"222","330","1533"
"225","334","728"
"227","336","547"
"228","338","44"
"229","339","1120"
"230","340","1108"
"232","342","536"
"235","345","88"
"237","348","384"
"238","349","1014"
"239","350","85"
"240","351","972"
"258","367","981"
"259","368","981"
"260","369","981"
"261","370","981"
"262","371","981"
"263","372","981"
"264","373","981"
"266","375","892"
"267","376","892"
"268","377","892"
"269","378","459"
"270","379","459"
"271","380","459"
"272","381","459"
"286","394","612"
"298","408","517"
"351","22","1122"
"352","24","947"
"369","73","926"
"375","283","1843"
"376","355","760"
"377","355","1573"
"378","355","1172"
"379","355","1184"
"382","261","180"
"383","261","1846"
"384","384","21"
"385","384","1121"
"390","419","1848"
"391","419","1849"
"393","420","85"
"395","421","1173"
"400","423","1136"
"402","424","907"
"405","425","1120"
"408","426","1850"
"410","427","849"
"412","428","882"
"414","429","937"
"416","430","1851"
"418","431","1852"
"422","432","943"
"424","434","1853"
"426","436","1221"
"428","437","1854"
"431","438","1703"
"433","439","1855"
"435","441","298"
"437","442","814"
"441","444","823"
"443","446","1856"
"446","447","822"
"448","448","1854"
"450","449","1857"
"452","451","1858"
"456","202","817"
"457","452","817"
"459","453","1859"
"465","276","612"
"481","459","1563"
"482","459","1138"
"483","459","1136"
"484","460","916"
"490","461","203"
"491","461","253"
"492","461","251"
"497","67","1861"
"499","462","403"
"502","75","148"
"504","58","94"
"505","70","575"
"506","288","642"
"510","60","378"
"511","78","77"
"513","62","1545"
"514","79","1080"
"515","208","243"
"516","5","243"
"519","63","243"
"520","64","1949"
"522","33","1109"
"523","31","32"
"524","30","575"
"525","29","249"
"526","28","865"
"528","80","1950"
"530","45","1108"
"531","39","43"
"532","40","1131"
"533","41","1951"
"534","42","1952"
"535","44","1044"
"536","46","632"
"537","47","1953"
"538","48","396"
"539","49","1108"
"540","50","175"
"542","34","392"
"543","35","896"
"547","81","1950"
"548","82","1455"
"561","82","516"
"562","61","842"
"563","374","981"
"569","201","813"
"570","1","961"
"571","2","534"
"572","4","959"
"573","6","1120"
"587","206","819"
"588","205","2029"
"589","443","2029"
"590","212","2036"
"591","213","2036"
"592","214","2036"
"593","216","2036"
"594","217","2036"
"595","215","2036"
"596","205","371"
"597","356","2053"
"598","359","2053"
"599","357","2053"
"600","358","2053"
"612","487","2070"
"613","487","1273"
"615","488","2070"
"623","27","930"
"635","68","384"
"639","3","825"
"640","32","1853"
"641","165","1086"
"644","14","1566"
"651","26","907"
"657","490","2202"
"668","56","575"
"673","76","1014"
"675","53","94"
"687","21","97"
"688","21","183"
"689","21","1058"
"695","17","365"
"696","17","585"
"706","74","1130"
"711","493","1604"
"712","492","728"
"714","13","814"
"715","15","196"
"716","15","837"
"722","145","1145"
"723","139","344"
"724","146","1625"
"725","144","1838"
"726","143","1083"
"727","136","961"
"728","363","1077"
"729","364","1077"
"730","365","1077"
"731","366","1077"
"732","251","961"
"733","253","1077"
"735","235","1578"
"736","246","915"
"737","250","1072"
"738","65","384"
"740","182","2283"
"741","422","1275"
"757","12","694"
"760","11","384"
"761","10","1010"
"763","9","1048"
"774","57","2145"
"780","8","974"
"786","20","1455"
"787","20","516"
"790","495","96"
"791","495","847"
"797","23","1153"
"800","157","3318"
"801","157","133"
"804","497","1153"
"805","37","3189"
"806","38","1861"
"811","499","1514"
"812","7","865"
"814","100","981"
"816","72","1016"
"817","18","447"
"818","18","840"
"819","16","1264"
"826","504","1010"
"827","382","459"
"829","505","459"
"837","503","1149"
"838","507","893"
"839","506","411"
"840","257","1029"
"841","86","558"
"842","25","1581"
"843","341","813"
"844","43","513"
"845","36","999"
"846","77","543"
